weather,Location
Heavy rain at times,"Budapest, Hungary"
Sunny,"Amsterdam, Netherlands"
Heavy rain at times,"Venice, Italy"
Sunny,"Rotterdam, Netherlands"
Moderate rain at times,"Ljubljana, Slovenia"
Cloudy,"Athens, Greece"
Moderate rain at times,"Vienna, Austria"
Sunny,"Lisbon, Portugal"
Partly cloudy,"Hamburg, Germany"
Overcast,"Geneva, Switzerland"
Overcast,"Rome, Italy"
Sunny,"Seville, Spain"
Partly cloudy,"Milan, Italy"
Partly cloudy,"Gothenburg, Sweden"
Overcast,"Berlin, Germany"
Cloudy,"Stockholm, Sweden"
Sunny,"Madrid, Spain"
Overcast,"Frankfurt, Germany"
Sunny,"Porto, Portugal"
Sunny,"London, UK"
Patchy rain possible,"Munich, Germany"
Overcast,"Prague, Czech Republic"
Sunny,"Brussels, Belgium"
Sunny,"Paris, France"
Sunny,"Barcelona, Spain"
Patchy rain possible,"Zurich, Switzerland"
Sunny,"Warsaw, Poland"
Overcast,"Copenhagen, Denmark"
Sunny,"Helsinki, Finland"
Overcast,"Edinburgh, UK"
Patchy rain possible,"Florence, Italy"
Partly cloudy,"Krakow, Poland"
Patchy rain possible,"Lyon, France"
Sunny,"Oslo, Norway"
Patchy rain possible,"Dublin, Ireland"
