weather,Location
Overcast,"Munich, Germany"
Overcast,"Gothenburg, Sweden"
Patchy rain possible,"Zurich, Switzerland"
Partly cloudy,"Rotterdam, Netherlands"
Sunny,"Paris, France"
Patchy rain possible,"Hamburg, Germany"
Sunny,"Krakow, Poland"
Sunny,"Lisbon, Portugal"
Cloudy,"Athens, Greece"
Cloudy,"Milan, Italy"
Overcast,"Edinburgh, UK"
Cloudy,"Ljubljana, Slovenia"
Cloudy,"Seville, Spain"
Partly cloudy,"Amsterdam, Netherlands"
Heavy rain at times,"Prague, Czech Republic"
Cloudy,"Venice, Italy"
Sunny,"Barcelona, Spain"
Cloudy,"Helsinki, Finland"
Sunny,"Oslo, Norway"
Patchy rain possible,"Rome, Italy"
Patchy rain possible,"Florence, Italy"
Sunny,"Warsaw, Poland"
Overcast,"Budapest, Hungary"
Sunny,"Brussels, Belgium"
Overcast,"Copenhagen, Denmark"
Overcast,"Berlin, Germany"
Partly cloudy,"London, UK"
Patchy rain possible,"Madrid, Spain"
Heavy rain at times,"Dublin, Ireland"
Partly cloudy,"Geneva, Switzerland"
Moderate or heavy rain shower,"Porto, Portugal"
Cloudy,"Stockholm, Sweden"
Patchy rain possible,"Vienna, Austria"
Patchy rain possible,"Frankfurt, Germany"
Sunny,"Lyon, France"
